Species	Symbol	Entrez ID	Model Organism	Model Organism Symbol	Model Organism Entrez ID
Drosophila melanogaster	Atg9	36821	Caenorhabditis elegans	atg-9	178561	
Drosophila melanogaster	ATPsyn-bet	43829	Caenorhabditis elegans	atp-2	175716	
Drosophila melanogaster	Oscp	41845	Caenorhabditis elegans	atp-3	172195	
Drosophila melanogaster	ATPsyn-Cf6	42759	Caenorhabditis elegans	atp-4	179025	
Drosophila melanogaster	ATPsyn-d	42291	Caenorhabditis elegans	atp-5	179541	
Drosophila melanogaster	pit	42595	Caenorhabditis elegans	B0511.6	172954	
Drosophila melanogaster	baf	34095	Caenorhabditis elegans	baf-1	176330	
Drosophila melanogaster	Atg6	42850	Caenorhabditis elegans	bec-1	177345	
Drosophila melanogaster	Blimp-1	38638	Caenorhabditis elegans	blmp-1	172917	
Drosophila melanogaster	Bub3	43490	Caenorhabditis elegans	bub-3	175018	
Drosophila melanogaster	TfIIFalpha	40790	Caenorhabditis elegans	C01F1.1	173764	
Drosophila melanogaster	CG3173	37840	Caenorhabditis elegans	C06A5.1	182280	
Drosophila melanogaster	l(1)10Bb	32069	Caenorhabditis elegans	C07A9.2	176368	
Drosophila melanogaster	CG9941	32330	Caenorhabditis elegans	C11H1.3	181537	
Drosophila melanogaster	CG33635	3772540	Caenorhabditis elegans	C18E9.10	174427	
Drosophila melanogaster	Mpcp	39587	Caenorhabditis elegans	C33F10.12	183168	
Drosophila melanogaster	CdsA	43950	Caenorhabditis elegans	C33H5.18	3565046	
Drosophila melanogaster	CG12267	41542	Caenorhabditis elegans	C48E7.2	172321	
Drosophila melanogaster	scf	38145	Caenorhabditis elegans	calu-1	180769	
Drosophila melanogaster	Cchl	42590	Caenorhabditis elegans	cchl-1	174713	
Drosophila melanogaster	CG11015	33918	Caenorhabditis elegans	cco-1	172832	
Drosophila melanogaster	CoVa	41432	Caenorhabditis elegans	cco-2	176707	
Drosophila melanogaster	twin	42880	Caenorhabditis elegans	ccr-4	178184	
Drosophila melanogaster	CG5525	34674	Caenorhabditis elegans	cct-4	174330	
Drosophila melanogaster	Tcp-1zeta	32518	Caenorhabditis elegans	cct-6	175819	
Drosophila melanogaster	twe	34954	Caenorhabditis elegans	cdc-25.1	172353	
Drosophila melanogaster	Cdk7	31441	Caenorhabditis elegans	cdk-7	171784	
Drosophila melanogaster	Ice	43514	Caenorhabditis elegans	ced-3	178272	
Drosophila melanogaster	mRNA-cap	32379	Caenorhabditis elegans	cel-1	172814	
Drosophila melanogaster	CG6463	39214	Caenorhabditis elegans	CELE_C33A12.1	177786	
Drosophila melanogaster	Prp38	35934	Caenorhabditis elegans	CELE_D1054.14	179499	
Drosophila melanogaster	eIF2B-delt	37706	Caenorhabditis elegans	CELE_F11A3.2	179331	
Drosophila melanogaster	CycK	49816	Caenorhabditis elegans	CELE_F43D2.1	185704	
Drosophila melanogaster	CG13096	34183	Caenorhabditis elegans	CELE_F53F4.11	179849	
Drosophila melanogaster	CG3309	31450	Caenorhabditis elegans	CELE_F53H1.3	176945	
Drosophila melanogaster	Pdsw	44228	Caenorhabditis elegans	CELE_F59C6.5	172933	
Drosophila melanogaster	EloA	42749	Caenorhabditis elegans	CELE_R03D7.4	174683	
Drosophila melanogaster	CG10664	35279	Caenorhabditis elegans	CELE_W09C5.8	173237	
Drosophila melanogaster	l(1)G0136	32513	Caenorhabditis elegans	CELE_Y39B6A.3	180262	
Drosophila melanogaster	kin17	40242	Caenorhabditis elegans	CELE_Y52B11A.9	173005	
Drosophila melanogaster	CG2972	31943	Caenorhabditis elegans	CELE_Y54E10BR.4	171874	
Drosophila melanogaster	Chc	32537	Caenorhabditis elegans	chc-1	176434	
Drosophila melanogaster	rempA	33230	Caenorhabditis elegans	che-11	179666	
Drosophila melanogaster	CG8853	33579	Caenorhabditis elegans	che-13	186607	
Drosophila melanogaster	Oseg5	35349	Caenorhabditis elegans	che-2	180401	
Drosophila melanogaster	btv	35073	Caenorhabditis elegans	che-3	172593	
Drosophila melanogaster	grp	34993	Caenorhabditis elegans	chk-1	3565921	
Drosophila melanogaster	COQ7	44007	Caenorhabditis elegans	clk-1	175729	
Drosophila melanogaster	CanB2	46456	Caenorhabditis elegans	cnb-1	179572	
Drosophila melanogaster	Rrp46	41270	Caenorhabditis elegans	crn-5	174634	
Drosophila melanogaster	TORC	39970	Caenorhabditis elegans	crtc-1	259368	
Drosophila melanogaster	hpo	37247	Caenorhabditis elegans	cst-1	180708	
Drosophila melanogaster	ATP7	32142	Caenorhabditis elegans	cua-1	176770	
Drosophila melanogaster	lin19	35742	Caenorhabditis elegans	cul-1	176466	
Drosophila melanogaster	mey	43715	Caenorhabditis elegans	cutl-28	176895	
Drosophila melanogaster	CG4769	38612	Caenorhabditis elegans	cyc-1	172582	
Drosophila melanogaster	Cyt-c-p	34996	Caenorhabditis elegans	cyc-2.1	177243	
Drosophila melanogaster	Cyp9c1	37941	Caenorhabditis elegans	cyp-13B1	181462	
Drosophila melanogaster	Cyp18a1	32858	Caenorhabditis elegans	cyp-33E2	185653	
Drosophila melanogaster	CG6406	37019	Caenorhabditis elegans	D1069.3	173425	
Drosophila melanogaster	alpha-Man-	31957	Caenorhabditis elegans	D2030.1	172510	
Drosophila melanogaster	CG5548	32434	Caenorhabditis elegans	D2030.4	172513	
Drosophila melanogaster	eIF2B-epsi	31156	Caenorhabditis elegans	D2085.3	174387	
Drosophila melanogaster	Oseg1	38957	Caenorhabditis elegans	daf-10	184883	
Drosophila melanogaster	Hr96	42993	Caenorhabditis elegans	daf-12	181263	
Drosophila melanogaster	raptor	31543	Caenorhabditis elegans	daf-15	177770	
Drosophila melanogaster	InR	42549	Caenorhabditis elegans	daf-2	175410	
Drosophila melanogaster	put	41772	Caenorhabditis elegans	daf-4	175781	
Drosophila melanogaster	myoglianin	43811	Caenorhabditis elegans	daf-7	175237	
Drosophila melanogaster	CG7429	34097	Caenorhabditis elegans	ddl-1	173954	
Drosophila melanogaster	wash	36311	Caenorhabditis elegans	ddl-2	190025	
Drosophila melanogaster	CG15173	35172	Caenorhabditis elegans	ddl-3	175087	
Drosophila melanogaster	CG7322	32880	Caenorhabditis elegans	dhs-21	179741	
Drosophila melanogaster	spen	44205	Caenorhabditis elegans	din-1	174782	
Drosophila melanogaster	Dis3	42900	Caenorhabditis elegans	dis-3	177875	
Drosophila melanogaster	PKD	42203	Caenorhabditis elegans	dkf-2	180121	
Drosophila melanogaster	CG7430	39988	Caenorhabditis elegans	dld-1	178387	
Drosophila melanogaster	CG9515	3771965	Caenorhabditis elegans	dod-18	183813	
Drosophila melanogaster	dve	37546	Caenorhabditis elegans	dve-1	180398	
Drosophila melanogaster	CG5149	34013	Caenorhabditis elegans	eak-7	3564920	
Drosophila melanogaster	opa1-like	36578	Caenorhabditis elegans	eat-3	174476	
Drosophila melanogaster	Atpalpha	48971	Caenorhabditis elegans	eat-6	179796	
Drosophila melanogaster	Ef2b	35422	Caenorhabditis elegans	eef-2	172743	
Drosophila melanogaster	RSG7	32674	Caenorhabditis elegans	egl-10	179707	
Drosophila melanogaster	GATAd	34395	Caenorhabditis elegans	egl-18	176992	
Drosophila melanogaster	amon	43215	Caenorhabditis elegans	egl-3	179412	
Drosophila melanogaster	Galpha49B	36384	Caenorhabditis elegans	egl-30	171751	
Drosophila melanogaster	eIF3-S10	40563	Caenorhabditis elegans	egl-45	176094	
Drosophila melanogaster	norpA	31376	Caenorhabditis elegans	egl-8	178537	
Drosophila melanogaster	Hph	40633	Caenorhabditis elegans	egl-9	179461	
Drosophila melanogaster	CG12006	38446	Caenorhabditis elegans	eif-1	266853	
Drosophila melanogaster	eIF3-S9	36981	Caenorhabditis elegans	eif-3.B	175138	
Drosophila melanogaster	CG9769	40587	Caenorhabditis elegans	eif-3.F	174478	
Drosophila melanogaster	GATAd	34395	Caenorhabditis elegans	elt-6	176993	
Drosophila melanogaster	Moe	31816	Caenorhabditis elegans	erm-1	172174	
Drosophila melanogaster	Ets98B	43334	Caenorhabditis elegans	ets-4	180927	
Drosophila melanogaster	Rrp1	33500	Caenorhabditis elegans	exo-3	173069	
Drosophila melanogaster	Rrp40	319033	Caenorhabditis elegans	exos-3	186604	
Drosophila melanogaster	Mpcp	39587	Caenorhabditis elegans	F01G4.6	178020	
Drosophila melanogaster	snRNP-U1-C	42274	Caenorhabditis elegans	F08B4.7	177674	
Drosophila melanogaster	CG5805	42950	Caenorhabditis elegans	F13G3.7	172478	
Drosophila melanogaster	RpI135	33210	Caenorhabditis elegans	F14B4.3	172752	
Drosophila melanogaster	l(2)k01209	36953	Caenorhabditis elegans	F19B6.1	178181	
Drosophila melanogaster	CG5585	40239	Caenorhabditis elegans	F21H12.1	174019	
Drosophila melanogaster	mRpL1	40980	Caenorhabditis elegans	F33D4.5	177549	
Drosophila melanogaster	CG7580	39950	Caenorhabditis elegans	F45H10.2	174992	
Drosophila melanogaster	ry	41605	Caenorhabditis elegans	F55B11.1	178381	
Drosophila melanogaster	CG17544	35213	Caenorhabditis elegans	F58F9.7	177386	
Drosophila melanogaster	desat1	117369	Caenorhabditis elegans	fat-7	179100	
Drosophila melanogaster	fbp	35265	Caenorhabditis elegans	fbp-1	266822	
Drosophila melanogaster	CG7707	39923	Caenorhabditis elegans	fbxa-188	185954	
Drosophila melanogaster	fh	31845	Caenorhabditis elegans	frh-1	174002	
Drosophila melanogaster	14-3-3zeta	36059	Caenorhabditis elegans	ftt-2	181348	
Drosophila melanogaster	CG1970	43798	Caenorhabditis elegans	gas-1	181646	
Drosophila melanogaster	Gdi	34264	Caenorhabditis elegans	gdi-1	178402	
Drosophila melanogaster	G-oalpha47	36104	Caenorhabditis elegans	goa-1	172505	
Drosophila melanogaster	Ggamma1	35881	Caenorhabditis elegans	gpc-1	181424	
Drosophila melanogaster	Gapdh2	32545	Caenorhabditis elegans	gpd-2	3565504	
Drosophila melanogaster	Gapdh2	32545	Caenorhabditis elegans	gpd-3	180601	
Drosophila melanogaster	Pgi	35886	Caenorhabditis elegans	gpi-1	173227	
Drosophila melanogaster	nito	35756	Caenorhabditis elegans	grld-1	176827	
Drosophila melanogaster	CG31381	192528	Caenorhabditis elegans	gro-1	175725	
Drosophila melanogaster	G-salpha60	37805	Caenorhabditis elegans	gsa-1	171687	
Drosophila melanogaster	CG31370	43060	Caenorhabditis elegans	H06H21.8	186700	
Drosophila melanogaster	blw	37617	Caenorhabditis elegans	H28O16.1	173134	
Drosophila melanogaster	Hcf	43788	Caenorhabditis elegans	hcf-1	177560	
Drosophila melanogaster	mus309	41366	Caenorhabditis elegans	him-6	178201	
Drosophila melanogaster	His3.3A	33736	Caenorhabditis elegans	his-71	181057	
Drosophila melanogaster	Liprin-bet	39524	Caenorhabditis elegans	hlb-1	181499	
Drosophila melanogaster	hipk	38070	Caenorhabditis elegans	hpk-1	180695	
Drosophila melanogaster	CG2100	40707	Caenorhabditis elegans	hpo-31	3565786	
Drosophila melanogaster	Hrb87F	48535	Caenorhabditis elegans	hrp-1	177101	
Drosophila melanogaster	Hsf	37068	Caenorhabditis elegans	hsf-1	173078	
Drosophila melanogaster	Hsp26	39075	Caenorhabditis elegans	hsp-16.49	179288	
Drosophila melanogaster	Hsc70-3	32133	Caenorhabditis elegans	hsp-4	174203	
Drosophila melanogaster	Hsc70-5	36583	Caenorhabditis elegans	hsp-6	178873	
Drosophila melanogaster	Hus1-like	40598	Caenorhabditis elegans	hus-1	171939	
Drosophila melanogaster	schlank	50392	Caenorhabditis elegans	hyl-1	177660	
Drosophila melanogaster	Idh	44291	Caenorhabditis elegans	idh-1	177775	
Drosophila melanogaster	eIF-5A	37846	Caenorhabditis elegans	iff-1	176373	
Drosophila melanogaster	eIF4G2	42819	Caenorhabditis elegans	ifg-1	174322	
Drosophila melanogaster	eIF-2beta	39433	Caenorhabditis elegans	iftb-1	172584	
Drosophila melanogaster	eIF-4a	33835	Caenorhabditis elegans	inf-1	175966	
Drosophila melanogaster	inx3	44266	Caenorhabditis elegans	inx-8	178101	
Drosophila melanogaster	inx3	44266	Caenorhabditis elegans	inx-9	191694	
Drosophila melanogaster	Ire1	42358	Caenorhabditis elegans	ire-1	174305	
Drosophila melanogaster	RFeSP	44390	Caenorhabditis elegans	isp-1	177609	
Drosophila melanogaster	Itp-r83A	40664	Caenorhabditis elegans	itr-1	177546	
Drosophila melanogaster	bsk	44801	Caenorhabditis elegans	jnk-1	177460	
Drosophila melanogaster	UGP	39065	Caenorhabditis elegans	K08E3.5	176814	
Drosophila melanogaster	CG4882	37787	Caenorhabditis elegans	K11B4.1	173349	
Drosophila melanogaster	CG10932	31695	Caenorhabditis elegans	kat-1	174161	
Drosophila melanogaster	CG9701	39872	Caenorhabditis elegans	klo-1	177557	
Drosophila melanogaster	CG9701	39872	Caenorhabditis elegans	klo-2	184000	
Drosophila melanogaster	Aats-leu	38581	Caenorhabditis elegans	lars-2	172499	
Drosophila melanogaster	fabp	3772232	Caenorhabditis elegans	lbp-6	172390	
Drosophila melanogaster	fabp	3772232	Caenorhabditis elegans	lbp-7	191701	
Drosophila melanogaster	fabp	3772232	Caenorhabditis elegans	lbp-8	188761	
Drosophila melanogaster	Chi	37837	Caenorhabditis elegans	ldb-1	181292	
Drosophila melanogaster	Egfr	37455	Caenorhabditis elegans	let-23	174462	
Drosophila melanogaster	Tor	47396	Caenorhabditis elegans	let-363	172167	
Drosophila melanogaster	rok	43916	Caenorhabditis elegans	let-502	172088	
Drosophila melanogaster	Ras85D	41140	Caenorhabditis elegans	let-60	178104	
Drosophila melanogaster	Atg8a	32001	Caenorhabditis elegans	lgg-1	174050	
Drosophila melanogaster	CASK	42567	Caenorhabditis elegans	lin-2	181400	
Drosophila melanogaster	slmb	42504	Caenorhabditis elegans	lin-23	174058	
Drosophila melanogaster	MTA1-like	40693	Caenorhabditis elegans	lin-40	178788	
Drosophila melanogaster	LamC	36615	Caenorhabditis elegans	lmn-1	172687	
Drosophila melanogaster	CG12203	32936	Caenorhabditis elegans	lpd-5	172037	
Drosophila melanogaster	LSm7	35003	Caenorhabditis elegans	lsm-7	177988	
Drosophila melanogaster	CG12007	40617	Caenorhabditis elegans	M57.2	177113	
Drosophila melanogaster	mago	37402	Caenorhabditis elegans	mag-1	173073	
Drosophila melanogaster	CG15100	37177	Caenorhabditis elegans	mars-1	178089	
Drosophila melanogaster	CG42248	31031	Caenorhabditis elegans	max-1	179794	
Drosophila melanogaster	CG8112	41033	Caenorhabditis elegans	mboa-1	181681	
Drosophila melanogaster	Mcm2	40973	Caenorhabditis elegans	mcm-2	174841	
Drosophila melanogaster	Mdh2	42185	Caenorhabditis elegans	mdh-2	175936	
Drosophila melanogaster	CG16935	36540	Caenorhabditis elegans	mecr-1	174963	
Drosophila melanogaster	MEP-1	38327	Caenorhabditis elegans	mep-1	178074	
Drosophila melanogaster	E(z)	39203	Caenorhabditis elegans	mes-2	175096	
Drosophila melanogaster	SdhC	41340	Caenorhabditis elegans	mev-1	260040	
Drosophila melanogaster	Mkk4	41020	Caenorhabditis elegans	mkk-4	185682	
Drosophila melanogaster	SerT	37895	Caenorhabditis elegans	mod-5	171879	
Drosophila melanogaster	rl	3354888	Caenorhabditis elegans	mpk-1	175545	
Drosophila melanogaster	mRpL10	33182	Caenorhabditis elegans	mrpl-10	186840	
Drosophila melanogaster	mRpL12	44326	Caenorhabditis elegans	mrpl-12	176495	
Drosophila melanogaster	mRpL24	33703	Caenorhabditis elegans	mrpl-24	172204	
Drosophila melanogaster	Rlc1	41141	Caenorhabditis elegans	mrpl-47	172164	
Drosophila melanogaster	mRpL50	38796	Caenorhabditis elegans	mrpl-50	174422	
Drosophila melanogaster	mRpS10	41838	Caenorhabditis elegans	mrps-10	189618	
Drosophila melanogaster	mRpS30	32530	Caenorhabditis elegans	mrps-30	172957	
Drosophila melanogaster	mRpS33	41991	Caenorhabditis elegans	mrps-33	184770	
Drosophila melanogaster	mRpS9	40932	Caenorhabditis elegans	mrps-9	184267	
Drosophila melanogaster	Mtch	38026	Caenorhabditis elegans	mtch-1	174207	
Drosophila melanogaster	CG3632	32589	Caenorhabditis elegans	mtm-3	175490	
Drosophila melanogaster	CG33671	3772247	Caenorhabditis elegans	mvk-1	175863	
Drosophila melanogaster	bigmax	43293	Caenorhabditis elegans	mxl-2	175184	
Drosophila melanogaster	Indy	40049	Caenorhabditis elegans	nac-3	176429	
Drosophila melanogaster	Aats-asn	35194	Caenorhabditis elegans	nars-1	172442	
Drosophila melanogaster	Cbp20	42166	Caenorhabditis elegans	ncbp-2	184953	
Drosophila melanogaster	CG1970	43798	Caenorhabditis elegans	nduf-2.2	188912	
Drosophila melanogaster	CG8545	36365	Caenorhabditis elegans	nol-1	173437	
Drosophila melanogaster	nop5	33966	Caenorhabditis elegans	nol-5	171901	
Drosophila melanogaster	Nup75	37078	Caenorhabditis elegans	npp-2	172611	
Drosophila melanogaster	CG11943	33002	Caenorhabditis elegans	npp-3	174823	
Drosophila melanogaster	Nrx-1	42646	Caenorhabditis elegans	nrx-1	179503	
Drosophila melanogaster	DNaseII	48228	Caenorhabditis elegans	nuc-1	181174	
Drosophila melanogaster	CG9140	33852	Caenorhabditis elegans	nuo-1	174696	
Drosophila melanogaster	CG12079	38378	Caenorhabditis elegans	nuo-2	172363	
Drosophila melanogaster	CG7712	36159	Caenorhabditis elegans	nuo-3	178404	
Drosophila melanogaster	ND42	42591	Caenorhabditis elegans	nuo-4	176001	
Drosophila melanogaster	ND75	31762	Caenorhabditis elegans	nuo-5	178735	
Drosophila melanogaster	Nc73EF	39899	Caenorhabditis elegans	ogdh-1	177235	
Drosophila melanogaster	tor	35717	Caenorhabditis elegans	old-1	191737	
Drosophila melanogaster	osm-1	38282	Caenorhabditis elegans	osm-1	181715	
Drosophila melanogaster	Kif3C	43820	Caenorhabditis elegans	osm-3	177141	
Drosophila melanogaster	nompB	35414	Caenorhabditis elegans	osm-5	180585	
Drosophila melanogaster	osm-6	33917	Caenorhabditis elegans	osm-6	179631	
Drosophila melanogaster	pAbp	37070	Caenorhabditis elegans	pab-1	172920	
Drosophila melanogaster	pAbp	37070	Caenorhabditis elegans	pab-2	181473	
Drosophila melanogaster	14-3-3zeta	36059	Caenorhabditis elegans	par-5	178113	
Drosophila melanogaster	mys	44885	Caenorhabditis elegans	pat-3	175504	
Drosophila melanogaster	Ilk	53573	Caenorhabditis elegans	pat-4	175175	
Drosophila melanogaster	CG32528	32990	Caenorhabditis elegans	pat-6	176848	
Drosophila melanogaster	CG10924	37130	Caenorhabditis elegans	pck-2	172556	
Drosophila melanogaster	Pcmt	40668	Caenorhabditis elegans	pcm-1	178981	
Drosophila melanogaster	Pdk1	38017	Caenorhabditis elegans	pdk-1	180475	
Drosophila melanogaster	CG2930	31341	Caenorhabditis elegans	pept-1	180919	
Drosophila melanogaster	Phm	37823	Caenorhabditis elegans	pghm-1	171746	
Drosophila melanogaster	l(2)37Cc	49168	Caenorhabditis elegans	phb-1	171768	
Drosophila melanogaster	l(2)03709	46038	Caenorhabditis elegans	phb-2	174034	
Drosophila melanogaster	Pkg21D	33253	Caenorhabditis elegans	pkg-1	176991	
Drosophila melanogaster	Naam	42348	Caenorhabditis elegans	pnc-1	176833	
Drosophila melanogaster	fbl	46234	Caenorhabditis elegans	pnk-1	172327	
Drosophila melanogaster	pod1	31620	Caenorhabditis elegans	pod-1	176784	
Drosophila melanogaster	Jafrac2	53577	Caenorhabditis elegans	prdx-2	266858	
Drosophila melanogaster	CG14815	31141	Caenorhabditis elegans	prx-5	174392	
Drosophila melanogaster	mkg-p	38955	Caenorhabditis elegans	pup-2	175708	
Drosophila melanogaster	Aats-gln	45786	Caenorhabditis elegans	qars-1	178415	
Drosophila melanogaster	CG7580	39950	Caenorhabditis elegans	R07E4.3	180862	
Drosophila melanogaster	CG9951	39888	Caenorhabditis elegans	R08E3.3	180757	
Drosophila melanogaster	CG16908	41189	Caenorhabditis elegans	R10H10.7	177932	
Drosophila melanogaster	Rab10	33025	Caenorhabditis elegans	rab-10	266836	
Drosophila melanogaster	Rab5	33418	Caenorhabditis elegans	rab-5	172755	
Drosophila melanogaster	Rab7	42841	Caenorhabditis elegans	rab-7	174834	
Drosophila melanogaster	Rala	31332	Caenorhabditis elegans	ral-1	175433	
Drosophila melanogaster	lid	33837	Caenorhabditis elegans	rbr-2	177985	
Drosophila melanogaster	kz	31205	Caenorhabditis elegans	rha-2	176207	
Drosophila melanogaster	RhoGDI	40179	Caenorhabditis elegans	rhi-1	180721	
Drosophila melanogaster	Snap25	3355084	Caenorhabditis elegans	ric-4	179427	
Drosophila melanogaster	roq	39818	Caenorhabditis elegans	rle-1	176525	
Drosophila melanogaster	CG8974	32532	Caenorhabditis elegans	rnf-5	175532	
Drosophila melanogaster	RpL19	37995	Caenorhabditis elegans	rpl-19	172201	
Drosophila melanogaster	RpL4	43349	Caenorhabditis elegans	rpl-4	172074	
Drosophila melanogaster	RpL9	34526	Caenorhabditis elegans	rpl-9	176071	
Drosophila melanogaster	RpS10b	32953	Caenorhabditis elegans	rps-10	172061	
Drosophila melanogaster	RpS11	36321	Caenorhabditis elegans	rps-11	178083	
Drosophila melanogaster	RpS15	36851	Caenorhabditis elegans	rps-15	172693	
Drosophila melanogaster	RpS15Aa	44150	Caenorhabditis elegans	rps-22	175338	
Drosophila melanogaster	RpS23	36576	Caenorhabditis elegans	rps-23	178188	
Drosophila melanogaster	RpS26	35098	Caenorhabditis elegans	rps-26	173342	
Drosophila melanogaster	RpS3	42761	Caenorhabditis elegans	rps-3	175879	
Drosophila melanogaster	RpS5a	32700	Caenorhabditis elegans	rps-5	178012	
Drosophila melanogaster	RpS6	31700	Caenorhabditis elegans	rps-6	173260	
Drosophila melanogaster	RpS8	43532	Caenorhabditis elegans	rps-8	177503	
Drosophila melanogaster	S6k	38654	Caenorhabditis elegans	rsks-1	176554	
Drosophila melanogaster	Sac1	38137	Caenorhabditis elegans	sac-1	172778	
Drosophila melanogaster	Sam-S	48552	Caenorhabditis elegans	sams-1	181370	
Drosophila melanogaster	Sam-S	48552	Caenorhabditis elegans	sams-2	178446	
Drosophila melanogaster	CG8549	38749	Caenorhabditis elegans	sbds-1	175218	
Drosophila melanogaster	7B2	40644	Caenorhabditis elegans	sbt-1	180366	
Drosophila melanogaster	Ca-P60A	49297	Caenorhabditis elegans	sca-1	176512	
Drosophila melanogaster	Alk	53425	Caenorhabditis elegans	scd-2	179054	
Drosophila melanogaster	CG9400	32385	Caenorhabditis elegans	scl-1	186053	
Drosophila melanogaster	CG9400	32385	Caenorhabditis elegans	scl-20	191309	
Drosophila melanogaster	CG9400	32385	Caenorhabditis elegans	scl-8	183345	
Drosophila melanogaster	Scox	33711	Caenorhabditis elegans	sco-1	173763	
Drosophila melanogaster	Nak	35154	Caenorhabditis elegans	sel-5	175599	
Drosophila melanogaster	drk	36497	Caenorhabditis elegans	sem-5	181055	
Drosophila melanogaster	5-HT1B	37191	Caenorhabditis elegans	ser-4	175322	
Drosophila melanogaster	CG40351	3354971	Caenorhabditis elegans	set-2	175662	
Drosophila melanogaster	Shc	44052	Caenorhabditis elegans	shc-1	3565745	
Drosophila melanogaster	Sin1	36604	Caenorhabditis elegans	sinh-1	190339	
Drosophila melanogaster	Hsp26	39075	Caenorhabditis elegans	sip-1	176471	
Drosophila melanogaster	skpA	31016	Caenorhabditis elegans	skr-1	172775	
Drosophila melanogaster	skpA	31016	Caenorhabditis elegans	skr-2	172773	
Drosophila melanogaster	Smg1	31625	Caenorhabditis elegans	smg-1	172418	
Drosophila melanogaster	flfl	41675	Caenorhabditis elegans	smk-1	179243	
Drosophila melanogaster	Sod	39251	Caenorhabditis elegans	sod-1	174141	
Drosophila melanogaster	Sod2	36878	Caenorhabditis elegans	sod-2	172632	
Drosophila melanogaster	CG6512	39922	Caenorhabditis elegans	spg-7	171915	
Drosophila melanogaster	spt4	36387	Caenorhabditis elegans	spt-4	175172	
Drosophila melanogaster	btd	31912	Caenorhabditis elegans	sptf-3	189783	
Drosophila melanogaster	Liprin-alp	249072	Caenorhabditis elegans	syd-2	181255	
Drosophila melanogaster	Sym	40709	Caenorhabditis elegans	symk-1	182490	
Drosophila melanogaster	CG17856	43369	Caenorhabditis elegans	T02H6.11	173459	
Drosophila melanogaster	CG7137	37204	Caenorhabditis elegans	T07A9.8	176864	
Drosophila melanogaster	ari-2	37542	Caenorhabditis elegans	T12E12.1	177339	
Drosophila melanogaster	ND23	44207	Caenorhabditis elegans	T20H4.5	176023	
Drosophila melanogaster	CG30354	246560	Caenorhabditis elegans	T27E9.2	176772	
Drosophila melanogaster	vps24	40542	Caenorhabditis elegans	T27F7.1	173863	
Drosophila melanogaster	CG30093	246451	Caenorhabditis elegans	tag-174	175693	
Drosophila melanogaster	Aats-thr	45784	Caenorhabditis elegans	tars-1	174790	
Drosophila melanogaster	Pp2B-14D	32624	Caenorhabditis elegans	tax-6	177943	
Drosophila melanogaster	sky	35359	Caenorhabditis elegans	tbc-7	180784	
Drosophila melanogaster	Tbp	37476	Caenorhabditis elegans	tbp-1	176054	
Drosophila melanogaster	CG6522	36965	Caenorhabditis elegans	tes-1	177515	
Drosophila melanogaster	CG8036	41027	Caenorhabditis elegans	tkt-1	177906	
Drosophila melanogaster	CG11737	41009	Caenorhabditis elegans	tmem-135	180740	
Drosophila melanogaster	tomosyn	32217	Caenorhabditis elegans	tom-1	172209	
Drosophila melanogaster	Top1	32458	Caenorhabditis elegans	top-1	266847	
Drosophila melanogaster	Trim9	34453	Caenorhabditis elegans	trim-9	178619	
