"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YGR005C" "MATCH" "1" "TFG2" "S. cerevisiae" "Transcription Factor G" "1203" "YGR005C" "S000003237" "ORF"
"YKR016W" "MATCH" "1" "MIC60" "S. cerevisiae" "MItochondrial contact site and Cristae organizing system" "1623" "YKR016W" "S000001724" "ORF"
"YDR322W" "MATCH" "1" "MRPL35" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "1104" "YDR322W" "S000002730" "ORF"
"YGR134W" "MATCH" "1" "CAF130" "S. cerevisiae" "CCR4 Associated Factor" "3369" "YGR134W" "S000003366" "ORF"
"YHR204W" "MATCH" "1" "MNL1" "S. cerevisiae" "MaNnosidase-Like protein" "2391" "YHR204W" "S000001247" "ORF"
"YCL028W" "MATCH" "1" "RNQ1" "S. cerevisiae" "Rich in asparagine (N) and glutamine (Q)" "1218" "YCL028W" "S000000533" "ORF"
"YJL025W" "MATCH" "1" "RRN7" "S. cerevisiae" "Regulation of RNA polymerase I" "1545" "YJL025W" "S000003562" "ORF"
"YCL029C" "MATCH" "1" "BIK1" "S. cerevisiae" "BIlateral Karyogamy defect" "1323" "YCL029C" "S000000534" "ORF"
"YPL085W" "MATCH" "1" "SEC16" "S. cerevisiae" "SECretory" "6588" "YPL085W" "S000006006" "ORF"
"YJR079W" "MATCH" "1" "" "S. cerevisiae" "" "1035" "YJR079W" "S000003840" "ORF"
"YKR017C" "MATCH" "1" "HEL1" "S. cerevisiae" "Histone E3 Ligase" "1656" "YKR017C" "S000001725" "ORF"
"YLR170C" "MATCH" "1" "APS1" "S. cerevisiae" "clathrin Associated Protein complex Small subunit" "471" "YLR170C" "S000004160" "ORF"
"YPR184W" "MATCH" "1" "GDB1" "S. cerevisiae" "Glycogen DeBranching" "4611" "YPR184W" "S000006388" "ORF"
"YAL067C" "MATCH" "1" "SEO1" "S. cerevisiae" "Suppressor of sulfoxyde EthiOnine resistance" "1782" "YAL067C" "S000000062" "ORF"
"YPR051W" "MATCH" "1" "MAK3" "S. cerevisiae" "MAintenance of Killer" "531" "YPR051W" "S000006255" "ORF"
"YOR209C" "MATCH" "1" "NPT1" "S. cerevisiae" "Nicotinate PhosphoribosylTransferase" "1290" "YOR209C" "S000005735" "ORF"
"YER040W" "MATCH" "1" "GLN3" "S. cerevisiae" "GLutamiNe metabolism" "2193" "YER040W" "S000000842" "ORF"
"YPL084W" "MATCH" "1" "BRO1" "S. cerevisiae" "BCK1-like Resistance to Osmotic shock" "2535" "YPL084W" "S000006005" "ORF"
"YER173W" "MATCH" "1" "RAD24" "S. cerevisiae" "RADiation sensitive" "1980" "YER173W" "S000000975" "ORF"
"YDL181W" "MATCH" "1" "INH1" "S. cerevisiae" "INHibitor (of F1F0-ATPase)" "258" "YDL181W" "S000002340" "ORF"
"YER174C" "MATCH" "1" "GRX4" "S. cerevisiae" "GlutaRedoXin" "735" "YER174C" "S000000976" "ORF"
"YMR240C" "MATCH" "1" "CUS1" "S. cerevisiae" "Cold sensitive U2 snRNA Suppressor" "1311" "YMR240C" "S000004853" "ORF"
"YPR052C" "MATCH" "1" "NHP6A" "S. cerevisiae" "Non-Histone Protein" "282" "YPR052C" "S000006256" "ORF"
"YDR323C" "MATCH" "1" "PEP7" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "1548" "YDR323C" "S000002731" "ORF"
"YGR002C" "MATCH" "1" "SWC4" "S. cerevisiae" "SWr Complex" "1431" "YGR002C" "S000003234" "ORF"
"YBR059C" "MATCH" "1" "AKL1" "S. cerevisiae" "Ark family Kinase-Like protein" "3327" "YBR059C" "S000000263" "ORF"
"YJL158C" "MATCH" "1" "CIS3" "S. cerevisiae" "CIk1 Suppressing" "684" "YJL158C" "S000003694" "ORF"
"YNL218W" "MATCH" "1" "MGS1" "S. cerevisiae" "Maintenance of Genome Stability" "1764" "YNL218W" "S000005162" "ORF"
"YGR268C" "MATCH" "1" "HUA1" "S. cerevisiae" "" "597" "YGR268C" "S000003500" "ORF"
"YCL027W" "MATCH" "1" "FUS1" "S. cerevisiae" "cell FUSion" "1539" "YCL027W" "S000000532" "ORF"
"YDL183C" "MATCH" "1" "" "S. cerevisiae" "" "963" "YDL183C" "S000002342" "ORF"
"YDR321W" "MATCH" "1" "ASP1" "S. cerevisiae" "ASParaginase" "1146" "YDR321W" "S000002729" "ORF"
"YFL011W" "MATCH" "1" "HXT10" "S. cerevisiae" "HeXose Transporter" "1641" "YFL011W" "S000001883" "ORF"
"YGR135W" "MATCH" "1" "PRE9" "S. cerevisiae" "PRoteinase yscE" "777" "YGR135W" "S000003367" "ORF"
"YJL026W" "MATCH" "1" "RNR2" "S. cerevisiae" "RiboNucleotide Reductase" "1200" "YJL026W" "S000003563" "ORF"
"YJL159W" "MATCH" "1" "HSP150" "S. cerevisiae" "Heat Shock Protein" "1242" "YJL159W" "S000003695" "ORF"
"YOR208W" "MATCH" "1" "PTP2" "S. cerevisiae" "Protein Tyrosine Phosphatase" "2253" "YOR208W" "S000005734" "ORF"
"YIL088C" "MATCH" "1" "AVT7" "S. cerevisiae" "Amino acid Vacuolar Transport" "1473" "YIL088C" "S000001350" "ORF"
"YPR183W" "MATCH" "1" "DPM1" "S. cerevisiae" "Dolichol Phosphate Mannose synthase" "804" "YPR183W" "S000006387" "ORF"
"YDL182W" "MATCH" "1" "LYS20" "S. cerevisiae" "LYSine requiring" "1287" "YDL182W" "S000002341" "ORF"
"YBR230C" "MATCH" "1" "OM14" "S. cerevisiae" "Outer Membrane Protein of 14 kDa" "502" "YBR230C" "S000000434" "ORF"
"YPL086C" "MATCH" "1" "ELP3" "S. cerevisiae" "ELongator Protein" "1674" "YPL086C" "S000006007" "ORF"
"YOL159C-A" "MATCH" "1" "" "S. cerevisiae" "" "273" "YOL159C-A" "S000007627" "ORF"
"YNL217W" "MATCH" "1" "PPN2" "S. cerevisiae" "" "981" "YNL217W" "S000005161" "ORF"
"Q0275" "MATCH" "1" "COX3" "S. cerevisiae" "Cytochrome c OXidase" "810" "Q0275" "S000007283" "ORF"
"YHR206W" "MATCH" "1" "SKN7" "S. cerevisiae" "Suppressor of Kre Null" "1869" "YHR206W" "S000001249" "ORF"
"YDR458C" "MATCH" "1" "HEH2" "S. cerevisiae" "Helix-Extension-Helix domain" "1992" "YDR458C" "S000002866" "ORF"
"YKR019C" "MATCH" "1" "IRS4" "S. cerevisiae" "Increased rDNA Silencing" "1848" "YKR019C" "S000001727" "ORF"
"YBR189W" "MATCH" "1" "RPS9B" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "1001" "YBR189W" "S000000393" "ORF"
"YBR056W" "MATCH" "1" "" "S. cerevisiae" "" "1506" "YBR056W" "S000000260" "ORF"
"YMR241W" "MATCH" "1" "YHM2" "S. cerevisiae" "Yeast suppressor of HM mutant" "945" "YMR241W" "S000004854" "ORF"
"YHR207C" "MATCH" "1" "SET5" "S. cerevisiae" "SET domain-containing" "1581" "YHR207C" "S000001250" "ORF"
"YER171W" "MATCH" "1" "RAD3" "S. cerevisiae" "RADiation sensitive" "2337" "YER171W" "S000000973" "ORF"
"YOL062C" "MATCH" "1" "APM4" "S. cerevisiae" "clathrin Adaptor Protein complex Medium chain" "1476" "YOL062C" "S000005423" "ORF"
"YOR207C" "MATCH" "1" "RET1" "S. cerevisiae" "Reduced Efficiency of Termination" "3450" "YOR207C" "S000005733" "ORF"
"YER044C-A" "MATCH" "1" "MEI4" "S. cerevisiae" "MEIosis-specific" "1315" "YER044C-A" "S000001954" "ORF"
"YDR457W" "MATCH" "1" "TOM1" "S. cerevisiae" "Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis" "9807" "YDR457W" "S000002865" "ORF"
"YBL089W" "MATCH" "1" "AVT5" "S. cerevisiae" "Amino acid Vacuolar Transport" "1380" "YBL089W" "S000000185" "ORF"
"YMR242C" "MATCH" "1" "RPL20A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "996" "YMR242C" "S000004855" "ORF"
"YNL216W" "MATCH" "1" "RAP1" "S. cerevisiae" "Repressor/Activator site binding Protein" "2484" "YNL216W" "S000005160" "ORF"
"YOL061W" "MATCH" "1" "PRS5" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "1491" "YOL061W" "S000005422" "ORF"
"YPL083C" "MATCH" "1" "SEN54" "S. cerevisiae" "Splicing ENdonuclease" "1404" "YPL083C" "S000006004" "ORF"
"YBR057C" "MATCH" "1" "MUM2" "S. cerevisiae" "MUddled Meiosis" "1101" "YBR057C" "S000000261" "ORF"
"YER172C" "MATCH" "1" "BRR2" "S. cerevisiae" "Bad Response to Refrigeration" "6492" "YER172C" "S000000974" "ORF"
"YGR266W" "MATCH" "1" "" "S. cerevisiae" "" "2106" "YGR266W" "S000003498" "ORF"
"YPR186C" "MATCH" "1" "PZF1" "S. cerevisiae" "Putative Zinc Finger" "1290" "YPR186C" "S000006390" "ORF"
"YGR133W" "MATCH" "1" "PEX4" "S. cerevisiae" "PEroXin" "552" "YGR133W" "S000003365" "ORF"
"YKR018C" "MATCH" "1" "" "S. cerevisiae" "" "2178" "YKR018C" "S000001726" "ORF"
"YPR185W" "MATCH" "1" "ATG13" "S. cerevisiae" "AuTophaGy related" "2217" "YPR185W" "S000006389" "ORF"
"YOR206W" "MATCH" "1" "NOC2" "S. cerevisiae" "NucleOlar Complex associated" "2133" "YOR206W" "S000005732" "ORF"
"YER170W" "MATCH" "1" "ADK2" "S. cerevisiae" "ADenylate Kinase" "678" "YER170W" "S000000972" "ORF"
"YFL010C" "MATCH" "1" "WWM1" "S. cerevisiae" "WW domain containing protein interacting with Metacaspase" "636" "YFL010C" "S000001884" "ORF"
"YNL215W" "MATCH" "1" "IES2" "S. cerevisiae" "Ino Eighty Subunit" "963" "YNL215W" "S000005159" "ORF"
"YOL063C" "MATCH" "1" "CRT10" "S. cerevisiae" "Constitutive RNR Transcription regulators" "2874" "YOL063C" "S000005424" "ORF"
"YCR079W" "MATCH" "1" "PTC6" "S. cerevisiae" "Phosphatase Two C" "1329" "YCR079W" "S000002133" "ORF"
"YDL180W" "MATCH" "1" "" "S. cerevisiae" "" "1644" "YDL180W" "S000002339" "ORF"
"YLR035C-A" "MATCH" "1" "" "S. cerevisiae" "" "" "YLR035C-A" "S000007225" "TransposableElementGene"
"YDR456W" "MATCH" "1" "NHX1" "S. cerevisiae" "Na+/H+ eXchanger" "1902" "YDR456W" "S000002864" "ORF"
"YGR267C" "MATCH" "1" "FOL2" "S. cerevisiae" "FOLic acid synthesis" "732" "YGR267C" "S000003499" "ORF"
"YMR243C" "MATCH" "1" "ZRC1" "S. cerevisiae" "Zinc Resistance Conferring" "1329" "YMR243C" "S000004856" "ORF"
"YDR324C" "MATCH" "1" "UTP4" "S. cerevisiae" "U Three Protein" "2331" "YDR324C" "S000002732" "ORF"
"YMR110C" "MATCH" "1" "HFD1" "S. cerevisiae" "Homolog of Fatty aldehyde Dehydrogenase" "1599" "YMR110C" "S000004716" "ORF"
"YBR058C" "MATCH" "1" "UBP14" "S. cerevisiae" "UBiquitin-specific Protease" "2346" "YBR058C" "S000000262" "ORF"
"YJR077C" "MATCH" "1" "MIR1" "S. cerevisiae" "Mitochondrial Import Receptor" "936" "YJR077C" "S000003838" "ORF"
"YDR505C" "MATCH" "1" "PSP1" "S. cerevisiae" "Polymerase SuPpressor" "2526" "YDR505C" "S000002913" "ORF"
"YGL039W" "MATCH" "1" "" "S. cerevisiae" "" "1047" "YGL039W" "S000003007" "ORF"
"YPL001W" "MATCH" "1" "HAT1" "S. cerevisiae" "Histone AcetylTransferase" "1125" "YPL001W" "S000005922" "ORF"
"YKL182W" "MATCH" "1" "FAS1" "S. cerevisiae" "Fatty Acid Synthetase" "6156" "YKL182W" "S000001665" "ORF"
"YHR200W" "MATCH" "1" "RPN10" "S. cerevisiae" "Regulatory Particle Non-ATPase" "807" "YHR200W" "S000001243" "ORF"
"YIL138C" "MATCH" "1" "TPM2" "S. cerevisiae" "TroPoMyosin" "486" "YIL138C" "S000001400" "ORF"
"YNL169C" "MATCH" "1" "PSD1" "S. cerevisiae" "PhosphatidylSerine Decarboxylase" "1503" "YNL169C" "S000005113" "ORF"
"YOR027W" "MATCH" "1" "STI1" "S. cerevisiae" "STress Inducible" "1770" "YOR027W" "S000005553" "ORF"
"YPL267W" "MATCH" "1" "ACM1" "S. cerevisiae" "APC/C[Cdh1] Modulator" "630" "YPL267W" "S000006188" "ORF"
"YDL053C" "MATCH" "1" "PBP4" "S. cerevisiae" "Pbp1p Binding Protein" "558" "YDL053C" "S000002211" "ORF"
"YER177W" "MATCH" "1" "BMH1" "S. cerevisiae" "Brain Modulosignalin Homolog" "804" "YER177W" "S000000979" "ORF"
"YDL185W" "MATCH" "1" "VMA1" "S. cerevisiae" "Vacuolar Membrane Atpase" "3216" "YDL185W" "S000002344" "ORF"
"YNL036W" "MATCH" "1" "NCE103" "S. cerevisiae" "NonClassical Export" "666" "YNL036W" "S000004981" "ORF"
"YHR201C" "MATCH" "1" "PPX1" "S. cerevisiae" "" "1194" "YHR201C" "S000001244" "ORF"
"YJL207C" "MATCH" "1" "LAA1" "S. cerevisiae" "Large AP-1 Accessory" "6045" "YJL207C" "S000003743" "ORF"
"YPL134C" "MATCH" "1" "ODC1" "S. cerevisiae" "OxoDicarboxylate Carrier" "933" "YPL134C" "S000006055" "ORF"
"YML098W" "MATCH" "1" "TAF13" "S. cerevisiae" "TATA binding protein-Associated Factor" "504" "YML098W" "S000004564" "ORF"
"YKL050C" "MATCH" "1" "" "S. cerevisiae" "" "2769" "YKL050C" "S000001533" "ORF"
"YMR111C" "MATCH" "1" "EUC1" "S. cerevisiae" "Enriches Ubiquitin on Chromatin" "1389" "YMR111C" "S000004717" "ORF"
"YGR264C" "MATCH" "1" "MES1" "S. cerevisiae" "MEthionyl-tRNA Synthetase" "2256" "YGR264C" "S000003496" "ORF"
"YOR330C" "MATCH" "1" "MIP1" "S. cerevisiae" "MItochondrial DNA Polymerase" "3765" "YOR330C" "S000005857" "ORF"
"YER045C" "MATCH" "1" "ACA1" "S. cerevisiae" "ATF/CREB Activator" "1470" "YER045C" "S000000847" "ORF"
"YOL105C" "MATCH" "1" "WSC3" "S. cerevisiae" "cell Wall integrity and Stress response Component" "1671" "YOL105C" "S000005465" "ORF"
"YML099C" "MATCH" "1" "ARG81" "S. cerevisiae" "ARGinine requiring" "2643" "YML099C" "S000004565" "ORF"
"YIL005W" "MATCH" "1" "EPS1" "S. cerevisiae" "ER-retained Pma1 Suppressing" "2106" "YIL005W" "S000001267" "ORF"
"YBL007C" "MATCH" "1" "SLA1" "S. cerevisiae" "Synthetic Lethal with ABP1" "3735" "YBL007C" "S000000103" "ORF"
"YDR504C" "MATCH" "1" "SPG3" "S. cerevisiae" "Stationary Phase Gene" "384" "YDR504C" "S000002912" "ORF"
"YIL003W" "MATCH" "1" "CFD1" "S. cerevisiae" "Cytosolic Fe-S cluster Deficient" "882" "YIL003W" "S000001265" "ORF"
"YNL035C" "MATCH" "1" "" "S. cerevisiae" "" "1170" "YNL035C" "S000004980" "ORF"
"YMR112C" "MATCH" "1" "MED11" "S. cerevisiae" "MEDiator complex" "396" "YMR112C" "S000004718" "ORF"
"YIL137C" "MATCH" "1" "TMA108" "S. cerevisiae" "Translation Machinery Associated" "2841" "YIL137C" "S000001399" "ORF"
"YKL183W" "MATCH" "1" "LOT5" "S. cerevisiae" "LOw Temperature-responsive" "921" "YKL183W" "S000001666" "ORF"
"YMR244W" "MATCH" "1" "" "S. cerevisiae" "" "1068" "YMR244W" "S000004858" "ORF"
"YIL004C" "MATCH" "1" "BET1" "S. cerevisiae" "Blocked Early in Transport" "560" "YIL004C" "S000001266" "ORF"
"YER056C-A" "MATCH" "1" "RPL34A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "763" "YER056C-A" "S000002135" "ORF"
"YOR026W" "MATCH" "1" "BUB3" "S. cerevisiae" "Budding Uninhibited by Benzimidazole" "1026" "YOR026W" "S000005552" "ORF"
"YPL268W" "MATCH" "1" "PLC1" "S. cerevisiae" "PhosphoLipase C" "2610" "YPL268W" "S000006189" "ORF"
"YDL054C" "MATCH" "1" "MCH1" "S. cerevisiae" "MonoCarboxylate transporter Homolog" "1461" "YDL054C" "S000002212" "ORF"
"YNL168C" "MATCH" "1" "FMP41" "S. cerevisiae" "Found in Mitochondrial Proteome" "780" "YNL168C" "S000005112" "ORF"
"YPL135W" "MATCH" "1" "ISU1" "S. cerevisiae" "IScU homolog" "498" "YPL135W" "S000006056" "ORF"
"YER176W" "MATCH" "1" "ECM32" "S. cerevisiae" "ExtraCellular Mutant" "3366" "YER176W" "S000000978" "ORF"
"YBR180W" "MATCH" "1" "DTR1" "S. cerevisiae" "DiTyRosine" "1719" "YBR180W" "S000000384" "ORF"
"YJL208C" "MATCH" "1" "NUC1" "S. cerevisiae" "NUClease" "990" "YJL208C" "S000003744" "ORF"
"YOR025W" "MATCH" "1" "HST3" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1344" "YOR025W" "S000005551" "ORF"
"YDL186W" "MATCH" "1" "" "S. cerevisiae" "" "834" "YDL186W" "S000002345" "ORF"
"YGL038C" "MATCH" "1" "OCH1" "S. cerevisiae" "Outer CHain elongation" "1443" "YGL038C" "S000003006" "ORF"
"YPL002C" "MATCH" "1" "SNF8" "S. cerevisiae" "Sucrose NonFermenting" "702" "YPL002C" "S000005923" "ORF"
"YER044C" "MATCH" "1" "ERG28" "S. cerevisiae" "ERGosterol biosynthesis" "447" "YER044C" "S000000846" "ORF"
"YGR132C" "MATCH" "1" "PHB1" "S. cerevisiae" "ProHiBitin" "864" "YGR132C" "S000003364" "ORF"
"YLR174W" "MATCH" "1" "IDP2" "S. cerevisiae" "Isocitrate Dehydrogenase, NADP-specific" "1239" "YLR174W" "S000004164" "ORF"
"YOR159C" "MATCH" "1" "SME1" "S. cerevisiae" "Sm protein E" "285" "YOR159C" "S000005685" "ORF"
"YJL209W" "MATCH" "1" "CBP1" "S. cerevisiae" "Cytochrome B mRNA Processing" "1965" "YJL209W" "S000003745" "ORF"
"YNL167C" "MATCH" "1" "SKO1" "S. cerevisiae" "Suppressor of Kinase Overexpression" "1944" "YNL167C" "S000005111" "ORF"
"YLR172C" "MATCH" "1" "DPH5" "S. cerevisiae" "DiPHthamide" "903" "YLR172C" "S000004162" "ORF"
"YKL180W" "MATCH" "1" "RPL17A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "861" "YKL180W" "S000001663" "ORF"
"YHR202W" "MATCH" "1" "" "S. cerevisiae" "" "1809" "YHR202W" "S000001245" "ORF"
"YJR127C" "MATCH" "1" "RSF2" "S. cerevisiae" "ReSpiration Factor" "4143" "YJR127C" "S000003888" "ORF"
"YPL132W" "MATCH" "1" "COX11" "S. cerevisiae" "Cytochrome c OXidase" "903" "YPL132W" "S000006053" "ORF"
"YOL107W" "MATCH" "1" "" "S. cerevisiae" "" "1029" "YOL107W" "S000005467" "ORF"
"YBL005W" "MATCH" "1" "PDR3" "S. cerevisiae" "Pleiotropic Drug Resistance" "2931" "YBL005W" "S000000101" "ORF"
"YOR158W" "MATCH" "1" "PET123" "S. cerevisiae" "PETite colonies" "957" "YOR158W" "S000005684" "ORF"
