Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9XVV5	DPM3_CAEEL	reviewed	Probable dolichol-phosphate mannosyltransferase subunit 3 (Dolichol-phosphate mannose synthase subunit 3) (DPM synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3)	dpm-3 F28D1.11	Caenorhabditis elegans	95
G5EGU2	EAK6_CAEEL	reviewed	Tyrosine-protein phosphatase non-receptor type eak-6 (EC 3.1.3.48) (Enhancer of akt-1 null 6)	eak-6 F10G8.4	Caenorhabditis elegans	405
G5EGA9	EAK5_CAEEL	reviewed	Protein sdf-9 (Synthetic dauer formation 9)	sdf-9 eak-5 Y44A6D.4	Caenorhabditis elegans	345
P34644	EAT4_CAEEL	reviewed	Probable vesicular glutamate transporter eat-4 (Abnormal pharyngeal pumping eat-4)	eat-4 ZK512.6	Caenorhabditis elegans	576
Q19341	3HAO_CAEEL	reviewed	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)	haao-1 K06A4.5	Caenorhabditis elegans	281
Q9N587	ACH6_CAEEL	reviewed	Acetylcholine receptor subunit alpha-type unc-63 (Levamisole-resistant protein 7) (Uncoordinated protein 63)	unc-63 lev-7 Y110A7A.3	Caenorhabditis elegans	502
Q07750	ADF1_CAEEL	reviewed	Actin-depolymerizing factor 1, isoforms a/b (Uncoordinated protein 60)	unc-60 C38C3.5	Caenorhabditis elegans	212
G5EFD9	ADA10_CAEEL	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 homolog (ADAM 10 homolog) (EC 3.4.24.81)	sup-17 DY3.7	Caenorhabditis elegans	922
Q9TZN1	ARCH_CAEEL	reviewed	Protein archease-like	arch-1 C43H8.1	Caenorhabditis elegans	155
O01530	ASP6_CAEEL	reviewed	Aspartic protease 6 (EC 3.4.23.-)	asp-6 F21F8.7	Caenorhabditis elegans	389
Q22616	BL1S1_CAEEL	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1)	blos-1 T20G5.10	Caenorhabditis elegans	129
Q09991	CTS41_CAEEL	reviewed	Serine carboxypeptidase ctsa-4.1 (Carboxypeptidase C) (EC 3.4.16.5)	ctsa-4.1 ctsa-1 drd-7 K10B2.2	Caenorhabditis elegans	470
Q8MPX3	DNJ20_CAEEL	reviewed	DnaJ homolog dnj-20 (DnaJ domain protein 20)	dnj-20 T15H9.7	Caenorhabditis elegans	355
O62215	DHSD_CAEEL	reviewed	Putative succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone reductase membrane anchor subunit)	sdhd-1 F33A8.5	Caenorhabditis elegans	145
Q8STF6	DYC1_CAEEL	reviewed	Dystrophin-like protein 1 (Dyb-1-binding and CAPON-related protein)	dyc-1 C33G3.1	Caenorhabditis elegans	887
Q86ME2	DRL1_CAEEL	reviewed	Protein drl-1 (Dietary restriction-like protein 1)	drl-1 mekk-3 F18F11.5	Caenorhabditis elegans	589
Q09305	AAR2_CAEEL	reviewed	Protein AAR2 homolog (AAR2 splicing factor homolog)	F10B5.2	Caenorhabditis elegans	357
G5EGL9	AFF1_CAEEL	reviewed	Cell fusion protein aff-1 (Anchor cell fusion failure protein 1)	aff-1 C44B7.3	Caenorhabditis elegans	589
Q19202	APY1_CAEEL	reviewed	Apyrase apy-1 (EC 3.6.1.6) (Uridine-diphosphatase) (UDPase)	apy-1 F08C6.6	Caenorhabditis elegans	355
O45686	ASAH1_CAEEL	reviewed	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine amidohydrolase 1) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	asah-1 K11D2.2	Caenorhabditis elegans	393
Q20681	BAT38_CAEEL	reviewed	BTB and MATH domain-containing protein 38	bath-38 F52H3.3	Caenorhabditis elegans	387
P34358	CED7_CAEEL	reviewed	ABC transporter ced-7 (Cell death protein 7)	ced-7 C48B4.4	Caenorhabditis elegans	1704
O02039	CNP3_CAEEL	reviewed	Calcineurin-interacting protein 3 (Calcineurin binding protein 3)	cnp-3 T23C6.3	Caenorhabditis elegans	533
Q09406	A16L2_CAEEL	reviewed	Autophagic-related protein 16.2	atg-16.2 K06A1.5	Caenorhabditis elegans	534
O45145	ACASE_CAEEL	reviewed	Alkaline ceramidase (AlkCDase) (EC 3.5.1.23) (Alkaline N-acylsphingosine amidohydrolase) (Alkaline acylsphingosine deacylase)	W02F12.2	Caenorhabditis elegans	272
Q94125	AGE1_CAEEL	reviewed	Phosphatidylinositol 3-kinase age-1 (PI3-kinase age-1) (PI3K age-1) (PtdIns-3-kinase age-1) (EC 2.7.1.137) (Aging alteration protein 1)	age-1 B0334.8	Caenorhabditis elegans	1182
P41990	APX1_CAEEL	reviewed	Anterior pharynx in excess protein 1	apx-1 K08D9.3	Caenorhabditis elegans	515
Q18510	ARL6_CAEEL	reviewed	ADP-ribosylation factor-like protein 6	arl-6 C38D4.8	Caenorhabditis elegans	190
P34508	CRN6_CAEEL	reviewed	Cell death-related nuclease 6 (EC 3.1.-.-)	crn-6 K04H4.6	Caenorhabditis elegans	378
Q9GS00	CSN1_CAEEL	reviewed	COP9 signalosome complex subunit 1 (Signalosome subunit 1)	csn-1 Y59A8A.1	Caenorhabditis elegans	601
P52018	CYP11_CAEEL	reviewed	Peptidyl-prolyl cis-trans isomerase 11 (PPIase 11) (EC 5.2.1.8) (Cyclophilin-11) (Rotamase 11)	cyn-11 cyp-11 T01B7.4	Caenorhabditis elegans	183
Q23240	CYC22_CAEEL	reviewed	Probable cytochrome c 2.2	cyc-2.2 ZC116.2	Caenorhabditis elegans	123
P19974	CYC21_CAEEL	reviewed	Cytochrome c 2.1	cyc-2.1 E04A4.7	Caenorhabditis elegans	111
Q9NEZ7	BBS1_CAEEL	reviewed	Bardet-Biedl syndrome 1 protein homolog	bbs-1 Y105E8A.5	Caenorhabditis elegans	576
Q17528	BEST1_CAEEL	reviewed	Bestrophin homolog 1	best-1 B0564.3	Caenorhabditis elegans	450
Q94126	CES2_CAEEL	reviewed	Cell death specification protein 2	ces-2 ZK909.4	Caenorhabditis elegans	211
Q9N3Z3	CHK1_CAEEL	reviewed	Serine/threonine-protein kinase chk-1 (EC 2.7.11.1)	chk-1 Y39H10A.7	Caenorhabditis elegans	503
Q09300	CL141_CAEEL	reviewed	C-type lectin domain-containing protein 141	clec-141 EEED8.11	Caenorhabditis elegans	304
P34803	COL36_CAEEL	reviewed	Cuticle collagen 36	col-36 C27H5.5	Caenorhabditis elegans	307
O76368	COL99_CAEEL	reviewed	Putative cuticle collagen 99	col-99 F29C4.8	Caenorhabditis elegans	716
Q09233	COL79_CAEEL	reviewed	Putative cuticle collagen 79	col-79 C09G5.3	Caenorhabditis elegans	283
Q18317	CPB2_CAEEL	reviewed	Cytoplasmic polyadenylation element-binding protein 2	cpb-2 C30B5.3	Caenorhabditis elegans	570
Q21270	COG6_CAEEL	reviewed	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6)	cogc-6 K07C11.9	Caenorhabditis elegans	642
Q21444	COG2_CAEEL	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (LDLC protein homolog)	cogc-2 cgo-2 cog-2 ldlc C06G3.10	Caenorhabditis elegans	681
P25807	CPR1_CAEEL	reviewed	Gut-specific cysteine proteinase (EC 3.4.22.-)	cpr-1 gcp-1 C52E4.1	Caenorhabditis elegans	329
E7EM37	DOPR2_CAEEL	reviewed	Dopamine receptor 2 (Dopamine D2-like receptor dop-2)	dop-2 dop-2L K09G1.4	Caenorhabditis elegans	849
P41950	DEX1_CAEEL	reviewed	Dendrite extension defective protein 1	dex-1 D1044.2	Caenorhabditis elegans	1090
Q93246	DFSC1_CAEEL	reviewed	Homeobox protein dsc-1 (Defecation suppressor of clk-1)	dsc-1 C18B12.3	Caenorhabditis elegans	310
P50140	CH60_CAEEL	reviewed	Chaperonin homolog Hsp-60, mitochondrial (Heat shock protein 60) (HSP-60)	hsp-60 hsp60 Y22D7AL.5	Caenorhabditis elegans	568
O61847	CDK2_CAEEL	reviewed	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2)	cdk-2 K03E5.3	Caenorhabditis elegans	368
P34804	COL40_CAEEL	reviewed	Cuticle collagen 40	col-40 T13B5.4	Caenorhabditis elegans	302
G5ECJ6	CSK1_CAEEL	reviewed	Tyrosine-protein kinase csk-1 (EC 2.7.10.2) (C-terminal src kinase)	csk-1 Y48G1C.2	Caenorhabditis elegans	539
Q95XZ0	COG4_CAEEL	reviewed	Conserved oligomeric Golgi complex subunit 4 (COG complex subunit 4) (Component of oligomeric Golgi complex 4)	cogc-4 Y51H7C.6	Caenorhabditis elegans	801
P52717	CTS11_CAEEL	reviewed	Serine carboxypeptidase ctsa-1.1 (EC 3.4.16.-)	ctsa-1.1 F41C3.5	Caenorhabditis elegans	469
Q17392	CUL4_CAEEL	reviewed	Cullin-4 (CUL-4)	cul-4 F45E12.3	Caenorhabditis elegans	840
P34630	CUTC_CAEEL	reviewed	Copper homeostasis protein cutC homolog	cutc-1 ZK353.7	Caenorhabditis elegans	250
Q17938	DAF36_CAEEL	reviewed	Cholesterol 7-desaturase (EC 1.14.19.21) (Cholesterol desaturase daf-36)	daf-36 C12D8.5	Caenorhabditis elegans	428
P30648	DCTD_CAEEL	reviewed	Probable deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)	ZK643.2	Caenorhabditis elegans	197
Q27474	DNLI1_CAEEL	reviewed	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	lig-1 C29A12.3	Caenorhabditis elegans	773
Q21222	AFG2H_CAEEL	reviewed	ATPase family protein 2 homolog (EC 3.6.4.10) (Cell division cycle-related protein 48.3)	cdc-48.3 K04G2.3	Caenorhabditis elegans	724
P54889	ALH13_CAEEL	reviewed	Probable delta-1-pyrroline-5-carboxylate synthase (P5CS) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Aldehyde dehydrogenase family 13) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	alh-13 T22H6.2	Caenorhabditis elegans	802
Q9N4I0	ARP3_CAEEL	reviewed	Actin-related protein 3 (Actin-like protein 3)	arx-1 Y71F9AL.16	Caenorhabditis elegans	425
P34672	BST24_CAEEL	reviewed	Bestrophin homolog 24	best-24 ZK688.2	Caenorhabditis elegans	632
Q22460	BCA1_CAEEL	reviewed	Beta carbonic anhydrase 1 (EC 4.2.1.1)	bca-1 T13C5.5	Caenorhabditis elegans	270
Q17529	BEST2_CAEEL	reviewed	Bestrophin homolog 2	best-2 B0564.4	Caenorhabditis elegans	421
Q9XWC3	DMON1_CAEEL	reviewed	DOMON domain-containing protein Y73F4A.2	Y73F4A.2	Caenorhabditis elegans	168
Q20507	ACBP3_CAEEL	reviewed	Acyl-CoA-binding protein homolog 3 (ACBP-3)	acbp-3 F47B10.7	Caenorhabditis elegans	116
Q23534	ACP1_CAEEL	reviewed	Putative acid phosphatase 1 (EC 3.1.3.2)	acp-1 ZK563.6	Caenorhabditis elegans	426
P0DM42	ACT3_CAEEL	reviewed	Actin-3	act-3 T04C12.4	Caenorhabditis elegans	376
G5EFT4	AMP1_CAEEL	reviewed	Aminopeptidase ltah-1.1 (EC 3.4.11.6) (Aminopeptidase-1) (AP-1) (Arginine aminopeptidase 1) (Leukotriene A4 hydrolase homolog ltah-1.1)	ltah-1.1 C42C1.11	Caenorhabditis elegans	609
Q20932	BYN1_CAEEL	reviewed	Uncharacterized protein byn-1	byn-1 F57B9.5	Caenorhabditis elegans	449
O45685	BORC8_CAEEL	reviewed	BLOC-1-related complex subunit 8 homolog	blos-9 K11B4.2	Caenorhabditis elegans	151
Q27514	C13A5_CAEEL	reviewed	Putative cytochrome P450 CYP13A5 (EC 1.14.-.-)	cyp-13A5 cyp13a5 T10B9.2	Caenorhabditis elegans	520
Q9XUM6	BAT34_CAEEL	reviewed	BTB and MATH domain-containing protein 34	bath-34 W02A11.5	Caenorhabditis elegans	384
Q22361	CNI1_CAEEL	reviewed	Protein cornichon homolog 1	cni-1 cnih-2 T09E8.3	Caenorhabditis elegans	145
Q9XTI0	3HIDH_CAEEL	reviewed	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	B0250.5	Caenorhabditis elegans	299
Q9XWZ2	ACD11_CAEEL	reviewed	Acyl-CoA dehydrogenase family member 11 (EC 1.3.99.-)	acdh-11 Y45F3A.3	Caenorhabditis elegans	617
G5EG88	ACH23_CAEEL	reviewed	Betaine receptor acr-23 (Acetylcholine receptor subunit alpha-type acr-23)	acr-23 5E130 F59B1.9	Caenorhabditis elegans	545
P45894	AAPK1_CAEEL	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1)	aak-1 PAR2.3	Caenorhabditis elegans	589
Q22531	AMP2_CAEEL	reviewed	Putative aminopeptidase-2 (EC 3.4.11.-)	T16G12.1	Caenorhabditis elegans	1890
Q20952	ADD2_CAEEL	reviewed	Adducin-related protein 2	add-2 F57F5.4	Caenorhabditis elegans	611
Q22004	AMERL_CAEEL	reviewed	Uncharacterized protein R166.3	R166.3	Caenorhabditis elegans	200
G5EEN8	AEX4_CAEEL	reviewed	t-SNARE protein aex-4 (Aboc, expulsion defective protein 4)	aex-4 tag-81 T14G12.2	Caenorhabditis elegans	234
P91863	AEX5_CAEEL	reviewed	Endoprotease aex-5 (EC 3.4.21.-) (Subtilisin-like protease)	aex-5 kpc-3 F32A7.6	Caenorhabditis elegans	537
P35602	AP1M_CAEEL	reviewed	AP-1 complex subunit mu-1-I (Clathrin assembly protein complex 1 mu-1-I medium chain) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor AP-1 47 kDa protein) (HA1 47 kDa subunit) (Mu1-I-adaptin) (Uncoordinated protein 101)	unc-101 K11D2.3	Caenorhabditis elegans	422
P34379	ATG13_CAEEL	reviewed	Autophagy-related protein 13 homolog	atg-13 epg-1 D2007.5	Caenorhabditis elegans	443
P51485	ARRB_CAEEL	reviewed	Beta-arrestin arr-1	arr-1 F53H8.2	Caenorhabditis elegans	435
B6VQ60	BRCA1_CAEEL	reviewed	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	brc-1 C36A4.8	Caenorhabditis elegans	612
P34537	BRE1_CAEEL	reviewed	E3 ubiquitin-protein ligase bre-1 (EC 2.3.2.27) (RING finger protein rfp-1) (RING-type E3 ubiquitin transferase bre-1)	rfp-1 bre-1 R05D3.4	Caenorhabditis elegans	837
Q22347	ACADM_CAEEL	reviewed	Probable medium-chain specific acyl-CoA dehydrogenase 10, mitochondrial (MCAD) (EC 1.3.8.7)	acdh-10 T08G2.3	Caenorhabditis elegans	417
P10984	ACT2_CAEEL	reviewed	Actin-2	act-2 T04C12.5	Caenorhabditis elegans	376
Q20052	APC11_CAEEL	reviewed	Anaphase-promoting complex subunit 11 (APC11)	apc-11 F35G12.9	Caenorhabditis elegans	135
P90747	AT131_CAEEL	reviewed	Probable manganese-transporting ATPase catp-8 (EC 7.2.2.-) (Cation transporting ATPase 8)	catp-8 C10C6.6	Caenorhabditis elegans	1178
G5EG86	BRC2_CAEEL	reviewed	DNA repair protein brc-2	brc-2 T07E3.5	Caenorhabditis elegans	394
P34568	BAT43_CAEEL	reviewed	BTB and MATH domain-containing protein 43 (HIB homolog)	bath-43 T16H12.5	Caenorhabditis elegans	451
Q9XWB9	BAT36_CAEEL	reviewed	BTB and MATH domain-containing protein 36	bath-36 Y75B12B.4	Caenorhabditis elegans	320
Q9TZI1	CERK_CAEEL	reviewed	Ceramide kinase 1 (EC 2.7.1.138)	cerk-1 T10B11.2	Caenorhabditis elegans	549
G5ECD6	CHS1_CAEEL	reviewed	Chitin synthase chs-1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-1)	chs-1 T25G3.2	Caenorhabditis elegans	1322
Q95Y36	CFA36_CAEEL	reviewed	Cilia- and flagella-associated protein 36 (Coiled-coil domain-containing protein 104)	cfap-36 ccdc-104 Y108G3AL.3	Caenorhabditis elegans	685
Q8MXQ7	CDKAL_CAEEL	reviewed	Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDKAL1-like protein) (tRNA-t(6)A37 methylthiotransferase)	Y92H12BL.1	Caenorhabditis elegans	425
Q9U2H1	CDKL1_CAEEL	reviewed	Cyclin-dependent kinase-like 1 (EC 2.7.11.22)	cdkl-1 Y42A5A.4	Caenorhabditis elegans	353
Q9U3D6	ADR1_CAEEL	reviewed	A-to-I RNA editing regulator adr-1	adr-1 H15N14.1	Caenorhabditis elegans	964
Q93149	ACR3_CAEEL	reviewed	Acetylcholine receptor subunit beta-type acr-3	acr-3 K11G12.7	Caenorhabditis elegans	487
P34629	AMPL_CAEEL	reviewed	Leucine aminopeptidase 1 (EC 3.4.11.1)	lap-1 ZK353.6	Caenorhabditis elegans	491
G5ECL4	BRAM2_CAEEL	reviewed	Neurexin-related protein bam-2 (Branching abnormal protein 2)	bam-2 Y71F9AR.1	Caenorhabditis elegans	1007
G5EFV5	CDK7_CAEEL	reviewed	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 7)	cdk-7 Y39G10AL.3	Caenorhabditis elegans	330
P34355	ACX15_CAEEL	reviewed	Probable peroxisomal acyl-coenzyme A oxidase 1.5 (AOX 1.5) (Acyl-CoA oxidase 1.5) (EC 1.3.3.6)	acox-1.5 acox-5 C48B4.1	Caenorhabditis elegans	659
Q17941	AKT1_CAEEL	reviewed	Serine/threonine-protein kinase akt-1 (EC 2.7.11.1) (Protein kinase B akt-1) (PKB akt-1)	akt-1 C12D8.10	Caenorhabditis elegans	541
Q9XTG7	AKT2_CAEEL	reviewed	Serine/threonine-protein kinase akt-2 (EC 2.7.11.1) (Protein kinase B akt-2) (PKB akt-2)	akt-2 F28H6.1	Caenorhabditis elegans	528
Q19204	ADT2_CAEEL	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs adt-2 (ADAMTS adt-2) (EC 3.4.24.-)	adt-2 sma-21 F08C6.1	Caenorhabditis elegans	1020
Q23361	ALG12_CAEEL	reviewed	Probable Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog)	algn-12 ZC513.5	Caenorhabditis elegans	492
P46580	ANM5_CAEEL	reviewed	Protein arginine N-methyltransferase 5 (EC 2.1.1.320)	prmt-5 tag-251 C34E10.5	Caenorhabditis elegans	734
Q9N4M4	ANC1_CAEEL	reviewed	Nuclear anchorage protein 1 (Anchorage 1 protein) (Nesprin homolog)	anc-1 ZK973.6	Caenorhabditis elegans	8545
Q18446	BL1S5_CAEEL	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog)	mutd-1 C34D4.13	Caenorhabditis elegans	131
Q09651	CC130_CAEEL	reviewed	Coiled-coil domain-containing protein 130 homolog	ZK1307.9	Caenorhabditis elegans	369
Q17335	ADHX_CAEEL	reviewed	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	H24K24.3	Caenorhabditis elegans	384
O44712	AHR_CAEEL	reviewed	Aryl hydrocarbon receptor protein 1	ahr-1 C41G7.5	Caenorhabditis elegans	602
G5EBZ8	ARK1_CAEEL	reviewed	Ack-related non-receptor tyrosine kinase (EC 2.7.10.2) (EC 2.7.11.1) (Ras-regulating kinase ark-1)	ark-1 C01C7.1	Caenorhabditis elegans	1043
